event_id,machine_id,start_time,end_time,type,reason_code,order_id
61,37,2026-04-29 07:09:00,2026-04-29 09:09:00,planned,CAL-01,30.0
62,33,2026-04-12 20:41:00,2026-04-12 22:54:00,planned,CAL-01,2899.0
63,19,2026-02-12 06:24:00,2026-02-12 06:44:00,unplanned,MEC-01,
64,46,2026-05-11 19:28:00,2026-05-11 21:58:00,planned,MEC-01,7450.0
65,5,2026-04-09 07:22:00,2026-04-09 07:59:00,planned,CAL-01,7460.0
66,50,2026-02-27 20:16:00,2026-02-27 23:06:00,unplanned,CAL-01,8430.0
67,22,2026-03-01 08:47:00,2026-03-01 10:40:00,planned,MAT-01,604.0
68,8,2026-04-08 02:50:00,2026-04-08 04:06:00,unplanned,MEC-01,6320.0
69,7,2026-05-25 01:58:00,2026-05-25 04:13:00,planned,ELEC-01,3984.0
70,44,2026-01-23 19:15:00,2026-01-23 21:36:00,planned,CAL-01,
71,27,2026-03-18 13:51:00,2026-03-18 15:30:00,unplanned,CAL-01,
72,13,2026-04-26 15:09:00,2026-04-26 16:07:00,planned,MEC-01,
73,5,2026-06-05 02:42:00,2026-06-05 03:15:00,unplanned,MAT-01,1012.0
74,2,2026-01-21 21:11:00,2026-01-21 23:05:00,unplanned,MEC-01,3197.0
75,12,2026-06-18 09:07:00,2026-06-18 10:13:00,unplanned,CAL-01,1612.0
76,5,2026-02-28 07:09:00,2026-02-28 09:49:00,unplanned,ELEC-01,
77,8,2026-04-16 02:31:00,2026-04-16 05:10:00,unplanned,ELEC-01,9535.0
78,7,2026-05-28 11:15:00,2026-05-28 14:02:00,planned,MEC-01,9574.0
79,2,2026-02-07 23:09:00,2026-02-07 23:42:00,unplanned,MEC-01,7345.0
80,14,2026-05-29 22:50:00,2026-05-30 00:14:00,planned,MEC-02,4513.0
81,4,2026-02-21 06:22:00,2026-02-21 06:36:00,unplanned,MAT-01,7057.0
82,12,2026-03-02 18:03:00,2026-03-02 20:00:00,unplanned,ELEC-01,8733.0
83,2,2026-04-10 10:44:00,2026-04-10 13:14:00,unplanned,CAL-01,2713.0
84,5,2026-04-01 23:43:00,2026-04-02 01:37:00,unplanned,CAL-01,
85,28,2026-02-05 16:57:00,2026-02-05 19:03:00,planned,MAT-01,5945.0
86,30,2026-05-22 10:40:00,2026-05-22 12:23:00,unplanned,MAT-01,3112.0
87,22,2026-04-14 12:47:00,2026-04-14 13:10:00,planned,MEC-01,1892.0
88,32,2026-02-18 20:12:00,2026-02-18 23:07:00,unplanned,MEC-01,
89,38,2026-03-14 14:42:00,2026-03-14 17:14:00,planned,MEC-02,3358.0
90,3,2026-02-26 10:22:00,2026-02-26 10:32:00,unplanned,CAL-01,
91,11,2026-06-21 05:20:00,2026-06-21 08:07:00,unplanned,MEC-01,7352.0
92,33,2026-05-27 22:47:00,2026-05-28 00:17:00,planned,MEC-02,
93,13,2026-05-29 12:07:00,2026-05-29 14:36:00,planned,MAT-01,718.0
94,37,2026-06-27 21:51:00,2026-06-28 00:32:00,unplanned,ELEC-01,
95,39,2026-04-12 11:15:00,2026-04-12 11:37:00,unplanned,MAT-01,
96,34,2026-02-09 12:29:00,2026-02-09 14:52:00,planned,MEC-02,9947.0
97,6,2026-06-27 06:29:00,2026-06-27 06:41:00,planned,MEC-01,
98,3,2026-04-10 11:21:00,2026-04-10 13:48:00,planned,ELEC-01,
99,46,2026-03-21 23:54:00,2026-03-22 02:14:00,planned,MAT-01,
100,30,2026-06-25 03:58:00,2026-06-25 06:05:00,planned,MEC-02,
101,11,2026-03-12 20:49:00,2026-03-12 22:40:00,unplanned,MEC-01,7453.0
102,42,2026-04-17 06:30:00,2026-04-17 09:22:00,unplanned,MEC-01,6648.0
103,45,2026-01-29 13:29:00,2026-01-29 14:56:00,planned,MEC-01,5239.0
104,27,2026-05-22 06:45:00,2026-05-22 09:24:00,unplanned,MEC-02,5069.0
105,36,2026-04-22 15:32:00,2026-04-22 16:11:00,unplanned,MEC-01,1142.0
106,32,2026-04-27 08:14:00,2026-04-27 10:47:00,unplanned,MEC-01,8190.0
107,48,2026-02-01 18:28:00,2026-02-01 20:57:00,unplanned,MEC-02,
108,19,2026-01-09 03:40:00,2026-01-09 04:55:00,unplanned,MEC-02,7595.0
109,40,2026-06-24 12:33:00,2026-06-24 14:27:00,planned,CAL-01,974.0
110,38,2026-01-22 13:42:00,2026-01-22 16:37:00,unplanned,CAL-01,6419.0
111,40,2026-03-05 20:03:00,2026-03-05 21:01:00,planned,MEC-02,9401.0
112,50,2026-04-11 13:50:00,2026-04-11 15:39:00,unplanned,ELEC-01,
113,31,2026-04-19 18:58:00,2026-04-19 20:51:00,unplanned,MEC-02,
114,24,2026-05-03 13:27:00,2026-05-03 15:31:00,planned,MAT-01,
115,7,2026-02-28 09:22:00,2026-02-28 10:47:00,planned,MAT-01,3348.0
116,23,2026-01-02 14:57:00,2026-01-02 17:15:00,unplanned,MEC-01,5944.0
117,48,2026-03-25 05:30:00,2026-03-25 05:53:00,unplanned,MEC-01,1147.0
118,14,2026-05-19 15:48:00,2026-05-19 17:27:00,unplanned,ELEC-01,2391.0
119,4,2026-01-28 13:52:00,2026-01-28 16:46:00,planned,CAL-01,8668.0
120,42,2026-02-11 14:32:00,2026-02-11 15:11:00,unplanned,MEC-01,8620.0
121,4,2026-01-29 03:26:00,2026-01-29 04:42:00,unplanned,MEC-01,3772.0
122,32,2026-06-09 06:51:00,2026-06-09 09:31:00,planned,CAL-01,
123,38,2026-03-30 21:11:00,2026-03-30 21:39:00,planned,ELEC-01,7927.0
124,27,2026-06-18 03:08:00,2026-06-18 04:14:00,planned,ELEC-01,7678.0
125,9,2026-01-17 23:26:00,2026-01-18 02:07:00,planned,ELEC-01,9753.0
126,9,2026-03-23 23:52:00,2026-03-24 00:14:00,unplanned,MAT-01,7965.0
127,22,2026-03-09 20:36:00,2026-03-09 22:04:00,unplanned,MEC-01,
128,36,2026-02-19 11:52:00,2026-02-19 12:59:00,unplanned,MEC-02,
129,22,2026-06-15 17:42:00,2026-06-15 19:02:00,unplanned,ELEC-01,8067.0
130,15,2026-01-18 17:13:00,2026-01-18 19:10:00,unplanned,MEC-01,4787.0
131,28,2026-03-10 03:23:00,2026-03-10 06:05:00,planned,MAT-01,9613.0
132,14,2026-05-03 13:10:00,2026-05-03 13:35:00,planned,MAT-01,7850.0
133,29,2026-02-15 13:45:00,2026-02-15 16:39:00,unplanned,ELEC-01,
134,35,2026-06-01 01:47:00,2026-06-01 02:57:00,unplanned,ELEC-01,2791.0
135,30,2026-06-28 06:33:00,2026-06-28 09:20:00,planned,CAL-01,8447.0
136,32,2026-02-14 22:47:00,2026-02-14 23:25:00,planned,ELEC-01,
137,48,2026-03-05 02:38:00,2026-03-05 03:43:00,planned,MEC-01,
138,50,2026-01-02 08:02:00,2026-01-02 09:43:00,unplanned,CAL-01,6771.0
139,27,2026-03-27 00:46:00,2026-03-27 03:34:00,unplanned,CAL-01,1127.0
140,32,2026-02-13 15:31:00,2026-02-13 17:35:00,planned,CAL-01,
141,46,2026-01-21 05:54:00,2026-01-21 08:05:00,unplanned,CAL-01,7296.0
142,42,2026-06-05 17:54:00,2026-06-05 18:41:00,unplanned,MEC-02,5005.0
143,26,2026-04-16 08:39:00,2026-04-16 10:19:00,unplanned,MEC-02,5020.0
144,48,2026-03-20 22:43:00,2026-03-20 22:53:00,unplanned,MEC-02,4684.0
145,35,2026-06-24 22:51:00,2026-06-25 01:10:00,planned,CAL-01,2931.0
146,16,2026-05-06 07:14:00,2026-05-06 09:03:00,planned,MEC-02,
147,29,2026-06-04 04:38:00,2026-06-04 07:28:00,planned,MEC-02,7913.0
148,35,2026-05-18 10:53:00,2026-05-18 12:23:00,planned,MAT-01,5956.0
149,50,2026-05-11 00:09:00,2026-05-11 02:29:00,planned,CAL-01,1959.0
150,31,2026-05-18 05:39:00,2026-05-18 07:09:00,planned,MEC-01,4418.0
151,15,2026-02-23 07:34:00,2026-02-23 10:04:00,planned,MEC-02,7543.0
152,7,2026-01-29 07:48:00,2026-01-29 08:57:00,planned,CAL-01,1805.0
153,11,2026-05-30 12:52:00,2026-05-30 12:59:00,planned,ELEC-01,3533.0
154,17,2026-01-10 23:26:00,2026-01-11 01:27:00,unplanned,ELEC-01,8333.0
155,23,2026-05-20 00:11:00,2026-05-20 00:29:00,unplanned,MEC-02,
156,35,2026-02-16 04:47:00,2026-02-16 05:12:00,planned,CAL-01,6747.0
157,28,2026-05-20 16:16:00,2026-05-20 19:01:00,planned,CAL-01,1737.0
158,34,2026-01-16 09:01:00,2026-01-16 10:09:00,unplanned,MAT-01,
159,23,2026-03-31 20:24:00,2026-03-31 20:35:00,planned,CAL-01,6401.0
160,41,2026-03-24 20:41:00,2026-03-24 21:46:00,planned,ELEC-01,3924.0
161,38,2026-06-17 11:22:00,2026-06-17 13:35:00,unplanned,MAT-01,6603.0
162,26,2026-06-04 11:40:00,2026-06-04 11:53:00,planned,MEC-02,8185.0
163,26,2026-01-11 14:17:00,2026-01-11 16:51:00,planned,MAT-01,6653.0
164,9,2026-05-18 15:39:00,2026-05-18 16:46:00,unplanned,CAL-01,6941.0
165,5,2026-03-28 17:59:00,2026-03-28 19:05:00,unplanned,ELEC-01,
166,34,2026-01-06 21:24:00,2026-01-06 22:22:00,planned,MEC-02,3892.0
167,49,2026-05-09 18:32:00,2026-05-09 19:05:00,unplanned,ELEC-01,9669.0
168,22,2026-03-19 23:27:00,2026-03-20 01:58:00,unplanned,MEC-02,
169,8,2026-06-11 01:19:00,2026-06-11 03:33:00,unplanned,ELEC-01,667.0
170,41,2026-04-06 14:37:00,2026-04-06 17:36:00,unplanned,ELEC-01,7989.0
171,19,2026-03-03 22:42:00,2026-03-03 22:52:00,planned,CAL-01,4213.0
172,49,2026-02-23 16:43:00,2026-02-23 18:33:00,planned,MEC-01,
173,22,2026-02-12 20:02:00,2026-02-12 20:30:00,planned,CAL-01,
174,16,2026-01-06 01:18:00,2026-01-06 03:09:00,unplanned,MEC-02,2958.0
175,47,2026-01-09 09:01:00,2026-01-09 11:00:00,planned,ELEC-01,6184.0
176,6,2026-04-14 16:45:00,2026-04-14 18:04:00,unplanned,MEC-02,
177,27,2026-01-11 03:06:00,2026-01-11 05:34:00,planned,CAL-01,
178,42,2026-04-12 23:44:00,2026-04-13 00:12:00,unplanned,CAL-01,2725.0
179,28,2026-04-19 07:58:00,2026-04-19 10:54:00,unplanned,CAL-01,
180,41,2026-05-03 00:25:00,2026-05-03 01:02:00,unplanned,MEC-02,2306.0
181,18,2026-06-17 13:30:00,2026-06-17 14:54:00,planned,ELEC-01,4148.0
182,47,2026-04-29 23:40:00,2026-04-30 02:36:00,planned,ELEC-01,2710.0
183,34,2026-03-10 09:26:00,2026-03-10 10:58:00,planned,MEC-01,9257.0
184,24,2026-06-20 09:30:00,2026-06-20 11:58:00,planned,ELEC-01,
185,37,2026-04-01 11:17:00,2026-04-01 12:00:00,unplanned,MEC-01,
186,8,2026-02-01 22:21:00,2026-02-02 01:06:00,unplanned,CAL-01,8381.0
187,1,2026-06-28 15:46:00,2026-06-28 17:45:00,unplanned,MEC-02,3492.0
188,13,2026-04-25 06:00:00,2026-04-25 07:36:00,planned,CAL-01,9263.0
189,13,2026-03-06 04:37:00,2026-03-06 06:05:00,unplanned,MEC-01,8106.0
190,1,2026-01-13 21:43:00,2026-01-13 22:12:00,unplanned,MAT-01,300.0
191,40,2026-03-02 20:46:00,2026-03-02 21:54:00,planned,ELEC-01,6290.0
192,16,2026-02-24 22:06:00,2026-02-24 23:07:00,unplanned,CAL-01,443.0
193,12,2026-02-12 19:11:00,2026-02-12 19:54:00,planned,MEC-01,9123.0
194,15,2026-03-03 17:14:00,2026-03-03 19:04:00,unplanned,CAL-01,2377.0
195,15,2026-06-09 14:53:00,2026-06-09 16:08:00,unplanned,ELEC-01,8147.0
196,13,2026-06-01 03:08:00,2026-06-01 03:44:00,planned,MEC-01,8350.0
197,48,2026-04-07 03:36:00,2026-04-07 04:47:00,planned,MEC-01,873.0
198,24,2026-06-01 19:40:00,2026-06-01 21:28:00,unplanned,MEC-01,
199,6,2026-01-05 23:58:00,2026-01-06 02:10:00,planned,CAL-01,4951.0
200,29,2026-06-12 21:21:00,2026-06-12 23:44:00,planned,CAL-01,7591.0
201,45,2026-02-17 14:50:00,2026-02-17 15:43:00,planned,MEC-01,3970.0
202,33,2026-03-13 00:46:00,2026-03-13 02:39:00,unplanned,MEC-02,
203,25,2026-02-19 15:14:00,2026-02-19 16:01:00,planned,MEC-02,8648.0
204,45,2026-03-20 02:02:00,2026-03-20 03:32:00,unplanned,MEC-01,3268.0
205,48,2026-06-28 04:30:00,2026-06-28 06:54:00,planned,MAT-01,1700.0
206,48,2026-04-10 02:03:00,2026-04-10 03:59:00,planned,ELEC-01,2923.0
207,37,2026-03-28 14:02:00,2026-03-28 15:15:00,planned,MAT-01,2838.0
208,13,2026-06-04 13:21:00,2026-06-04 15:14:00,unplanned,MAT-01,6905.0
209,37,2026-05-30 09:54:00,2026-05-30 12:31:00,planned,MEC-01,
210,44,2026-06-13 11:04:00,2026-06-13 12:58:00,unplanned,MEC-01,5901.0
211,45,2026-02-12 00:16:00,2026-02-12 02:09:00,planned,ELEC-01,7258.0
212,41,2026-01-16 05:30:00,2026-01-16 06:36:00,unplanned,MEC-02,2616.0
213,36,2026-02-25 03:26:00,2026-02-25 06:09:00,planned,MEC-02,5732.0
214,31,2026-03-06 23:32:00,2026-03-07 01:04:00,unplanned,MEC-02,8197.0
215,34,2026-03-26 22:03:00,2026-03-27 00:31:00,planned,MAT-01,
216,1,2026-06-24 14:48:00,2026-06-24 16:43:00,planned,MEC-02,
217,47,2026-06-12 17:06:00,2026-06-12 17:58:00,planned,CAL-01,
218,29,2026-03-14 08:21:00,2026-03-14 10:53:00,unplanned,MEC-02,
219,19,2026-02-15 00:07:00,2026-02-15 02:23:00,unplanned,MEC-02,7530.0
220,48,2026-03-22 08:02:00,2026-03-22 09:22:00,unplanned,CAL-01,
221,15,2026-04-18 09:09:00,2026-04-18 10:58:00,planned,MAT-01,9998.0
222,24,2026-04-30 21:14:00,2026-04-30 23:11:00,unplanned,CAL-01,9872.0
223,40,2026-01-11 08:25:00,2026-01-11 09:56:00,planned,MEC-01,729.0
224,24,2026-05-01 01:04:00,2026-05-01 01:13:00,planned,MEC-02,4162.0
225,33,2026-01-28 02:57:00,2026-01-28 05:25:00,planned,MEC-02,
226,25,2026-06-08 00:23:00,2026-06-08 00:30:00,planned,MEC-02,
227,28,2026-03-20 16:06:00,2026-03-20 18:16:00,unplanned,MEC-01,9700.0
228,10,2026-06-09 22:38:00,2026-06-09 22:43:00,unplanned,ELEC-01,3162.0
229,46,2026-01-16 03:16:00,2026-01-16 05:42:00,unplanned,CAL-01,4556.0
230,17,2026-02-10 18:31:00,2026-02-10 19:43:00,unplanned,CAL-01,
231,29,2026-05-25 02:18:00,2026-05-25 05:14:00,unplanned,ELEC-01,
232,36,2026-01-31 23:28:00,2026-01-31 23:51:00,unplanned,MEC-02,
233,43,2026-03-25 04:17:00,2026-03-25 06:54:00,planned,MEC-01,9344.0
234,34,2026-06-20 10:59:00,2026-06-20 12:51:00,planned,MEC-02,6731.0
235,2,2026-06-25 09:44:00,2026-06-25 10:27:00,planned,ELEC-01,4198.0
236,5,2026-01-04 00:15:00,2026-01-04 01:53:00,planned,MEC-02,3743.0
237,45,2026-04-04 13:48:00,2026-04-04 15:18:00,unplanned,ELEC-01,9338.0
238,41,2026-01-05 22:04:00,2026-01-05 23:52:00,planned,ELEC-01,9213.0
239,44,2026-04-12 07:35:00,2026-04-12 09:12:00,planned,MEC-01,
240,17,2026-06-25 09:12:00,2026-06-25 10:42:00,planned,MEC-01,9934.0
241,17,2026-06-13 18:41:00,2026-06-13 20:36:00,unplanned,MEC-01,2384.0
242,48,2026-06-24 03:57:00,2026-06-24 04:16:00,planned,ELEC-01,7261.0
243,39,2026-05-14 03:20:00,2026-05-14 04:03:00,unplanned,MAT-01,4518.0
244,23,2026-06-08 13:04:00,2026-06-08 15:20:00,planned,MAT-01,2514.0
245,39,2026-01-12 21:37:00,2026-01-12 22:06:00,planned,ELEC-01,
246,7,2026-01-30 05:17:00,2026-01-30 07:12:00,unplanned,CAL-01,8275.0
247,18,2026-05-24 09:49:00,2026-05-24 11:34:00,planned,MEC-01,
248,10,2026-03-06 10:22:00,2026-03-06 11:32:00,planned,ELEC-01,6116.0
249,26,2026-05-25 22:35:00,2026-05-25 23:46:00,unplanned,MEC-02,
250,7,2026-04-10 00:42:00,2026-04-10 02:25:00,unplanned,MEC-02,3521.0
251,42,2026-02-24 14:07:00,2026-02-24 14:41:00,unplanned,CAL-01,8354.0
252,24,2026-01-28 14:43:00,2026-01-28 16:06:00,planned,MAT-01,3617.0
253,49,2026-04-26 22:36:00,2026-04-26 23:40:00,planned,MAT-01,8796.0
254,12,2026-04-10 06:09:00,2026-04-10 07:05:00,planned,CAL-01,5232.0
255,20,2026-04-07 05:27:00,2026-04-07 07:14:00,unplanned,MAT-01,1337.0
256,23,2026-03-19 02:34:00,2026-03-19 04:04:00,planned,MEC-01,2903.0
257,6,2026-05-11 09:18:00,2026-05-11 11:04:00,planned,ELEC-01,1775.0
258,34,2026-05-31 16:09:00,2026-05-31 17:46:00,planned,MAT-01,5379.0
259,28,2026-02-16 00:24:00,2026-02-16 00:31:00,unplanned,ELEC-01,675.0
260,7,2026-02-20 12:24:00,2026-02-20 12:40:00,unplanned,ELEC-01,7201.0
261,41,2026-04-29 07:04:00,2026-04-29 07:47:00,planned,MEC-02,3907.0
262,40,2026-03-24 14:54:00,2026-03-24 15:50:00,unplanned,MEC-02,9484.0
263,42,2026-01-27 08:40:00,2026-01-27 10:06:00,unplanned,CAL-01,3495.0
264,46,2026-05-29 18:48:00,2026-05-29 19:50:00,planned,MAT-01,8537.0
265,15,2026-02-27 16:40:00,2026-02-27 18:20:00,planned,ELEC-01,
266,2,2026-05-19 09:57:00,2026-05-19 10:33:00,planned,MAT-01,862.0
267,48,2026-05-25 19:28:00,2026-05-25 22:08:00,planned,MAT-01,7905.0
268,47,2026-05-01 20:42:00,2026-05-01 22:50:00,planned,MAT-01,8250.0
269,36,2026-03-10 07:13:00,2026-03-10 08:21:00,planned,ELEC-01,8019.0
270,21,2026-04-20 07:09:00,2026-04-20 09:58:00,unplanned,MEC-01,
271,39,2026-06-21 15:42:00,2026-06-21 16:27:00,planned,MEC-02,5983.0
272,1,2026-02-09 10:51:00,2026-02-09 11:57:00,planned,MAT-01,5346.0
273,11,2026-06-12 17:33:00,2026-06-12 19:26:00,planned,ELEC-01,5791.0
274,10,2026-04-12 05:12:00,2026-04-12 05:39:00,unplanned,MEC-02,
275,21,2026-05-06 08:41:00,2026-05-06 09:15:00,unplanned,MAT-01,389.0
276,46,2026-02-21 08:42:00,2026-02-21 10:28:00,unplanned,MAT-01,2790.0
277,48,2026-04-28 12:46:00,2026-04-28 13:28:00,planned,MEC-02,
278,23,2026-04-12 10:06:00,2026-04-12 11:45:00,unplanned,MAT-01,
279,30,2026-05-25 17:49:00,2026-05-25 19:27:00,planned,ELEC-01,
280,27,2026-02-27 06:23:00,2026-02-27 08:42:00,planned,CAL-01,7518.0
281,26,2026-05-03 21:47:00,2026-05-03 22:50:00,unplanned,MAT-01,2727.0
282,46,2026-06-15 19:32:00,2026-06-15 22:02:00,unplanned,MEC-02,
283,19,2026-01-30 12:58:00,2026-01-30 13:21:00,unplanned,ELEC-01,9970.0
284,23,2026-03-09 15:46:00,2026-03-09 16:49:00,unplanned,MEC-01,9899.0
285,29,2026-04-12 07:09:00,2026-04-12 07:14:00,unplanned,CAL-01,9863.0
286,7,2026-01-10 11:16:00,2026-01-10 11:36:00,planned,MEC-02,828.0
287,4,2026-02-10 19:58:00,2026-02-10 22:31:00,unplanned,MAT-01,
288,20,2026-02-22 23:22:00,2026-02-23 01:03:00,planned,ELEC-01,9317.0
289,7,2026-01-07 07:46:00,2026-01-07 08:23:00,planned,MAT-01,6992.0
290,46,2026-04-09 16:58:00,2026-04-09 17:09:00,planned,MAT-01,7240.0
291,5,2026-05-16 12:43:00,2026-05-16 15:08:00,unplanned,CAL-01,
292,17,2026-04-05 20:38:00,2026-04-05 23:18:00,unplanned,MEC-01,2903.0
293,29,2026-04-21 15:54:00,2026-04-21 16:36:00,planned,MEC-02,7468.0
294,23,2026-05-25 17:51:00,2026-05-25 20:06:00,planned,MEC-02,1946.0
295,47,2026-02-24 03:11:00,2026-02-24 05:26:00,planned,CAL-01,222.0
296,5,2026-02-11 05:17:00,2026-02-11 07:23:00,unplanned,ELEC-01,7033.0
297,9,2026-05-27 20:13:00,2026-05-27 21:52:00,planned,CAL-01,262.0
298,42,2026-03-08 20:50:00,2026-03-08 22:08:00,planned,MEC-01,2569.0
299,34,2026-01-18 14:40:00,2026-01-18 15:46:00,unplanned,MEC-01,8343.0
300,31,2026-01-18 10:02:00,2026-01-18 10:28:00,planned,ELEC-01,4170.0
301,10,2026-01-12 01:23:00,2026-01-12 04:18:00,unplanned,MAT-01,4052.0
302,23,2026-03-16 06:37:00,2026-03-16 09:10:00,planned,MAT-01,
303,27,2026-04-25 15:05:00,2026-04-25 16:19:00,unplanned,MAT-01,9541.0
304,4,2026-01-04 12:53:00,2026-01-04 14:13:00,unplanned,ELEC-01,8772.0
305,2,2026-02-25 21:21:00,2026-02-25 21:40:00,planned,MEC-02,4662.0
306,29,2026-02-12 23:25:00,2026-02-13 02:17:00,unplanned,MEC-01,1648.0
307,17,2026-01-19 13:49:00,2026-01-19 14:29:00,unplanned,MEC-01,
308,17,2026-01-31 12:06:00,2026-01-31 12:36:00,unplanned,MEC-01,
309,28,2026-02-23 13:02:00,2026-02-23 15:23:00,planned,ELEC-01,1074.0
310,22,2026-05-13 12:14:00,2026-05-13 12:55:00,planned,ELEC-01,
311,34,2026-06-21 19:45:00,2026-06-21 20:26:00,planned,ELEC-01,4767.0
312,36,2026-06-27 19:01:00,2026-06-27 21:25:00,planned,MEC-01,330.0
313,7,2026-04-14 15:22:00,2026-04-14 17:19:00,planned,MAT-01,8503.0
314,39,2026-01-23 08:48:00,2026-01-23 10:01:00,unplanned,MEC-01,3714.0
315,25,2026-06-03 08:09:00,2026-06-03 09:47:00,planned,MEC-02,8426.0
316,39,2026-01-03 09:44:00,2026-01-03 12:15:00,unplanned,MEC-02,
