order_id,machine_id,shift_id,supervisor,units_produced,units_defective,unidades_optimas
94,27,2,Supervisor_2,81,1,80
95,43,1,Supervisor_1,394,0,394
96,36,3,Supervisor_3,444,21,423
97,25,2,Supervisor_2,379,19,360
98,44,1,Supervisor_1,269,15,254
99,43,3,Supervisor_3,105,3,102
100,28,3,Supervisor_3,468,27,441
101,46,1,Supervisor_1,498,13,485
102,15,3,Supervisor_3,119,0,119
103,20,2,Supervisor_2,68,2,66
104,35,3,Supervisor_3,191,7,184
105,36,2,Supervisor_2,63,3,60
106,1,2,Supervisor_2,194,12,182
107,9,1,Supervisor_1,257,17,240
108,39,3,Supervisor_3,77,0,77
109,37,2,Supervisor_2,346,10,336
110,5,1,Supervisor_1,376,13,363
111,7,2,Supervisor_2,197,13,184
112,47,2,Supervisor_2,358,21,337
113,12,2,Supervisor_2,153,8,145
114,8,1,Supervisor_1,160,8,152
115,14,3,Supervisor_3,179,7,172
116,2,2,Supervisor_2,176,9,167
117,15,3,Supervisor_3,186,1,185
118,22,3,Supervisor_3,494,4,490
119,9,1,Supervisor_1,299,12,287
120,3,2,Supervisor_2,467,22,445
121,49,1,Supervisor_1,216,6,210
122,49,2,Supervisor_2,269,10,259
123,5,3,Supervisor_3,119,6,113
124,11,2,Supervisor_2,72,1,71
125,37,3,Supervisor_3,184,11,173
126,32,2,Supervisor_2,393,25,368
127,6,1,Supervisor_1,58,3,55
128,20,3,Supervisor_3,74,1,73
129,25,1,Supervisor_1,104,3,101
130,41,3,Supervisor_3,405,19,386
131,6,3,Supervisor_3,418,32,386
132,11,1,Supervisor_1,423,28,395
133,19,1,Supervisor_1,64,2,62
134,21,3,Supervisor_3,116,7,109
135,18,2,Supervisor_2,334,11,323
136,39,3,Supervisor_3,373,18,355
137,31,1,Supervisor_1,111,5,106
138,8,3,Supervisor_3,466,32,434
139,50,2,Supervisor_2,139,3,136
140,5,2,Supervisor_2,65,0,65
141,8,3,Supervisor_3,151,3,148
142,13,3,Supervisor_3,199,7,192
143,40,3,Supervisor_3,230,3,227
144,7,2,Supervisor_2,198,2,196
145,25,2,Supervisor_2,457,14,443
146,25,3,Supervisor_3,334,0,334
147,33,2,Supervisor_2,361,20,341
148,37,2,Supervisor_2,296,11,285
149,37,3,Supervisor_3,311,7,304
150,11,3,Supervisor_3,456,4,452
151,27,2,Supervisor_2,441,13,428
152,2,1,Supervisor_1,110,3,107
153,34,1,Supervisor_1,284,20,264
154,16,2,Supervisor_2,424,27,397
155,10,1,Supervisor_1,204,10,194
156,37,1,Supervisor_1,203,0,203
157,16,3,Supervisor_3,491,34,457
158,11,2,Supervisor_2,494,18,476
159,28,2,Supervisor_2,222,1,221
160,28,3,Supervisor_3,459,21,438
161,11,3,Supervisor_3,286,10,276
162,11,3,Supervisor_3,368,25,343
163,1,3,Supervisor_3,213,14,199
164,17,2,Supervisor_2,298,21,277
165,2,2,Supervisor_2,311,4,307
166,12,2,Supervisor_2,113,4,109
167,26,3,Supervisor_3,302,21,281
168,39,1,Supervisor_1,299,16,283
169,43,1,Supervisor_1,126,2,124
170,33,1,Supervisor_1,65,4,61
171,49,3,Supervisor_3,332,15,317
172,34,1,Supervisor_1,106,0,106
173,13,3,Supervisor_3,427,30,397
174,42,3,Supervisor_3,93,4,89
175,9,1,Supervisor_1,433,10,423
176,11,3,Supervisor_3,432,29,403
177,15,1,Supervisor_1,87,1,86
178,29,2,Supervisor_2,426,9,417
179,30,1,Supervisor_1,429,30,399
180,9,1,Supervisor_1,252,16,236
181,21,3,Supervisor_3,347,5,342
182,34,1,Supervisor_1,215,16,199
183,48,3,Supervisor_3,209,9,200
184,39,3,Supervisor_3,439,26,413
185,15,1,Supervisor_1,401,28,373
186,35,1,Supervisor_1,249,19,230
187,4,1,Supervisor_1,191,13,178
188,35,1,Supervisor_1,362,27,335
189,44,2,Supervisor_2,305,16,289
190,7,1,Supervisor_1,264,15,249
191,36,2,Supervisor_2,322,21,301
192,3,2,Supervisor_2,406,7,399
193,19,3,Supervisor_3,258,20,238
194,41,2,Supervisor_2,374,12,362
195,13,2,Supervisor_2,305,17,288
196,27,1,Supervisor_1,228,5,223
197,39,2,Supervisor_2,125,8,117
198,44,2,Supervisor_2,455,28,427
199,38,3,Supervisor_3,130,0,130
200,38,2,Supervisor_2,446,32,414
201,47,2,Supervisor_2,274,20,254
202,33,2,Supervisor_2,382,7,375
203,43,3,Supervisor_3,391,7,384
204,46,2,Supervisor_2,431,23,408
205,13,3,Supervisor_3,472,12,460
206,17,3,Supervisor_3,385,9,376
207,50,3,Supervisor_3,168,9,159
208,27,1,Supervisor_1,161,8,153
209,23,2,Supervisor_2,249,5,244
210,6,3,Supervisor_3,326,17,309
211,15,3,Supervisor_3,104,3,101
212,20,2,Supervisor_2,167,0,167
213,38,1,Supervisor_1,425,21,404
214,30,3,Supervisor_3,451,13,438
215,45,2,Supervisor_2,138,5,133
216,22,1,Supervisor_1,141,6,135
217,35,3,Supervisor_3,289,0,289
218,48,2,Supervisor_2,182,12,170
219,43,3,Supervisor_3,470,16,454
220,26,2,Supervisor_2,472,17,455
221,42,2,Supervisor_2,142,1,141
222,16,3,Supervisor_3,374,21,353
223,41,1,Supervisor_1,188,6,182
224,14,1,Supervisor_1,280,5,275
225,47,1,Supervisor_1,144,6,138
226,31,2,Supervisor_2,55,1,54
227,3,1,Supervisor_1,422,12,410
228,3,1,Supervisor_1,258,11,247
229,30,2,Supervisor_2,152,9,143
230,19,2,Supervisor_2,156,12,144
231,25,2,Supervisor_2,418,28,390
232,6,2,Supervisor_2,60,2,58
233,36,2,Supervisor_2,92,2,90
234,25,3,Supervisor_3,250,5,245
235,26,2,Supervisor_2,417,31,386
236,37,1,Supervisor_1,103,1,102
237,15,1,Supervisor_1,251,10,241
238,16,3,Supervisor_3,141,0,141
239,1,2,Supervisor_2,251,14,237
240,14,3,Supervisor_3,467,14,453
241,47,2,Supervisor_2,490,34,456
242,5,3,Supervisor_3,227,2,225
243,33,2,Supervisor_2,419,10,409
244,18,1,Supervisor_1,267,12,255
245,24,3,Supervisor_3,433,32,401
246,7,1,Supervisor_1,264,11,253
247,21,3,Supervisor_3,466,18,448
248,5,1,Supervisor_1,241,8,233
249,50,3,Supervisor_3,285,2,283
250,39,1,Supervisor_1,211,12,199
251,45,1,Supervisor_1,56,2,54
252,36,3,Supervisor_3,115,7,108
253,26,2,Supervisor_2,99,2,97
254,28,1,Supervisor_1,205,5,200
255,22,1,Supervisor_1,192,7,185
256,42,1,Supervisor_1,142,10,132
257,40,3,Supervisor_3,360,2,358
258,42,1,Supervisor_1,259,18,241
259,8,2,Supervisor_2,163,11,152
260,8,2,Supervisor_2,477,35,442
261,46,1,Supervisor_1,75,3,72
262,43,3,Supervisor_3,243,2,241
263,22,1,Supervisor_1,437,19,418
264,39,1,Supervisor_1,196,4,192
265,9,2,Supervisor_2,405,3,402
266,34,1,Supervisor_1,205,14,191
267,26,2,Supervisor_2,453,11,442
268,8,1,Supervisor_1,398,1,397
269,11,3,Supervisor_3,486,21,465
270,46,2,Supervisor_2,296,5,291
271,42,1,Supervisor_1,101,7,94
272,27,2,Supervisor_2,481,22,459
273,2,1,Supervisor_1,61,3,58
274,47,1,Supervisor_1,403,12,391
275,16,1,Supervisor_1,217,10,207
276,29,1,Supervisor_1,210,12,198
277,34,1,Supervisor_1,178,10,168
278,17,2,Supervisor_2,337,21,316
279,3,1,Supervisor_1,298,0,298
280,15,3,Supervisor_3,481,5,476
281,37,2,Supervisor_2,488,13,475
282,7,3,Supervisor_3,126,1,125
283,33,2,Supervisor_2,178,12,166
284,49,2,Supervisor_2,53,3,50
285,4,2,Supervisor_2,156,9,147
286,49,2,Supervisor_2,108,6,102
287,5,1,Supervisor_1,329,11,318
288,19,3,Supervisor_3,60,1,59
289,22,3,Supervisor_3,232,5,227
290,10,2,Supervisor_2,373,21,352
291,27,1,Supervisor_1,394,23,371
292,42,1,Supervisor_1,146,6,140
293,24,3,Supervisor_3,481,21,460
294,47,1,Supervisor_1,352,18,334
295,36,1,Supervisor_1,220,1,219
296,39,2,Supervisor_2,500,36,464
297,11,1,Supervisor_1,132,4,128
298,40,1,Supervisor_1,84,5,79
299,21,1,Supervisor_1,142,10,132
300,16,2,Supervisor_2,198,7,191
301,12,2,Supervisor_2,442,7,435
302,41,2,Supervisor_2,56,4,52
303,39,2,Supervisor_2,134,10,124
304,35,2,Supervisor_2,462,24,438
305,22,1,Supervisor_1,237,1,236
306,44,1,Supervisor_1,57,0,57
307,7,1,Supervisor_1,408,25,383
308,47,3,Supervisor_3,364,28,336
309,14,3,Supervisor_3,352,15,337
310,7,1,Supervisor_1,351,10,341
311,34,2,Supervisor_2,210,1,209
312,46,1,Supervisor_1,288,22,266
313,6,2,Supervisor_2,400,30,370
314,1,1,Supervisor_1,266,7,259
315,16,1,Supervisor_1,448,10,438
316,46,1,Supervisor_1,289,3,286
317,39,3,Supervisor_3,327,4,323
318,36,1,Supervisor_1,51,2,49
319,28,1,Supervisor_1,132,6,126
320,18,3,Supervisor_3,88,5,83
321,42,2,Supervisor_2,272,19,253
322,24,1,Supervisor_1,246,4,242
323,12,2,Supervisor_2,191,5,186
324,27,1,Supervisor_1,208,7,201
325,16,3,Supervisor_3,275,4,271
326,23,1,Supervisor_1,445,3,442
327,46,1,Supervisor_1,318,17,301
328,35,3,Supervisor_3,82,4,78
329,45,1,Supervisor_1,497,17,480
330,18,3,Supervisor_3,452,34,418
331,49,1,Supervisor_1,279,21,258
332,42,3,Supervisor_3,193,10,183
333,48,1,Supervisor_1,174,9,165
334,7,1,Supervisor_1,121,8,113
335,15,1,Supervisor_1,442,34,408
336,3,2,Supervisor_2,440,21,419
337,24,3,Supervisor_3,471,36,435
338,32,1,Supervisor_1,76,4,72
339,14,3,Supervisor_3,383,26,357
340,35,2,Supervisor_2,118,4,114
341,35,2,Supervisor_2,407,1,406
342,4,2,Supervisor_2,396,17,379
343,6,1,Supervisor_1,78,1,77
344,10,1,Supervisor_1,136,6,130
345,35,2,Supervisor_2,326,1,325
346,43,1,Supervisor_1,50,3,47
347,22,3,Supervisor_3,249,7,242
348,20,1,Supervisor_1,355,24,331
349,27,2,Supervisor_2,422,24,398
350,9,3,Supervisor_3,403,21,382
351,45,2,Supervisor_2,86,1,85
352,24,3,Supervisor_3,205,6,199
353,38,1,Supervisor_1,413,19,394
354,7,2,Supervisor_2,448,26,422
355,26,3,Supervisor_3,318,17,301
356,13,3,Supervisor_3,181,6,175
357,28,3,Supervisor_3,443,18,425
358,23,1,Supervisor_1,493,32,461
359,46,1,Supervisor_1,85,0,85
360,25,1,Supervisor_1,468,20,448
361,5,3,Supervisor_3,131,4,127
362,48,1,Supervisor_1,295,1,294
363,49,1,Supervisor_1,405,22,383
364,24,3,Supervisor_3,329,13,316
365,3,2,Supervisor_2,355,9,346
366,30,2,Supervisor_2,342,26,316
367,46,1,Supervisor_1,422,6,416
368,8,2,Supervisor_2,209,11,198
369,3,1,Supervisor_1,162,5,157
370,17,3,Supervisor_3,173,3,170
371,22,2,Supervisor_2,96,0,96
372,30,2,Supervisor_2,106,2,104
373,44,3,Supervisor_3,99,4,95
374,7,2,Supervisor_2,109,4,105
375,20,1,Supervisor_1,474,10,464
376,29,3,Supervisor_3,330,17,313
377,8,2,Supervisor_2,177,8,169
378,36,1,Supervisor_1,413,3,410
379,43,1,Supervisor_1,222,10,212
380,34,2,Supervisor_2,499,9,490
381,47,3,Supervisor_3,174,10,164
382,37,1,Supervisor_1,64,0,64
383,13,3,Supervisor_3,119,7,112
384,9,2,Supervisor_2,252,17,235
385,8,3,Supervisor_3,313,8,305
386,8,3,Supervisor_3,329,1,328
387,39,1,Supervisor_1,289,1,288
388,31,3,Supervisor_3,142,8,134
389,13,3,Supervisor_3,417,24,393
390,34,1,Supervisor_1,213,4,209
391,12,1,Supervisor_1,444,13,431
392,26,3,Supervisor_3,72,4,68
393,7,1,Supervisor_1,318,6,312
394,14,3,Supervisor_3,164,0,164
395,17,1,Supervisor_1,303,21,282
396,42,2,Supervisor_2,205,6,199
397,9,1,Supervisor_1,85,1,84
398,48,3,Supervisor_3,96,0,96
399,6,1,Supervisor_1,225,7,218
400,9,1,Supervisor_1,254,17,237
401,12,2,Supervisor_2,345,13,332
402,41,3,Supervisor_3,386,14,372
403,47,3,Supervisor_3,128,4,124
404,40,1,Supervisor_1,434,6,428
405,10,1,Supervisor_1,104,1,103
406,36,3,Supervisor_3,200,12,188
407,48,2,Supervisor_2,186,4,182
408,20,2,Supervisor_2,314,8,306
409,34,1,Supervisor_1,464,25,439
410,26,2,Supervisor_2,192,10,182
411,44,1,Supervisor_1,65,1,64
412,4,2,Supervisor_2,430,29,401
413,4,1,Supervisor_1,93,4,89
414,15,3,Supervisor_3,190,3,187
415,32,3,Supervisor_3,484,37,447
416,13,1,Supervisor_1,220,3,217
417,47,2,Supervisor_2,351,16,335
418,31,2,Supervisor_2,442,29,413
419,17,3,Supervisor_3,436,8,428
420,1,1,Supervisor_1,391,3,388
421,1,1,Supervisor_1,102,3,99
422,14,3,Supervisor_3,285,7,278
423,15,3,Supervisor_3,435,20,415
424,20,1,Supervisor_1,371,24,347
425,15,1,Supervisor_1,67,0,67
426,21,3,Supervisor_3,371,27,344
427,33,1,Supervisor_1,281,20,261
428,14,1,Supervisor_1,173,5,168
429,48,2,Supervisor_2,394,2,392
430,24,2,Supervisor_2,468,30,438
431,2,1,Supervisor_1,351,13,338
432,5,1,Supervisor_1,157,11,146
433,32,2,Supervisor_2,380,22,358
434,49,1,Supervisor_1,293,9,284
435,14,1,Supervisor_1,82,4,78
436,40,3,Supervisor_3,364,25,339
437,31,1,Supervisor_1,139,4,135
438,24,2,Supervisor_2,291,13,278
439,21,1,Supervisor_1,379,19,360
440,31,1,Supervisor_1,154,11,143
441,49,2,Supervisor_2,433,30,403
442,4,1,Supervisor_1,175,4,171
443,24,2,Supervisor_2,103,4,99
444,8,3,Supervisor_3,153,5,148
445,44,1,Supervisor_1,271,13,258
446,19,3,Supervisor_3,488,22,466
447,37,1,Supervisor_1,66,2,64
448,25,3,Supervisor_3,131,3,128
449,16,2,Supervisor_2,444,27,417
450,16,3,Supervisor_3,489,4,485
451,39,1,Supervisor_1,445,31,414
452,38,3,Supervisor_3,477,31,446
453,36,3,Supervisor_3,402,17,385
454,19,1,Supervisor_1,408,4,404
455,14,1,Supervisor_1,180,12,168
456,10,3,Supervisor_3,294,11,283
457,45,2,Supervisor_2,435,2,433
458,50,2,Supervisor_2,211,3,208
459,34,2,Supervisor_2,384,13,371
460,24,1,Supervisor_1,172,9,163
461,11,3,Supervisor_3,206,1,205
462,18,2,Supervisor_2,396,22,374
463,26,2,Supervisor_2,399,11,388
464,11,1,Supervisor_1,456,4,452
465,47,3,Supervisor_3,143,0,143
466,44,1,Supervisor_1,357,10,347
467,39,2,Supervisor_2,109,0,109
468,7,1,Supervisor_1,172,11,161
469,27,1,Supervisor_1,177,2,175
470,44,3,Supervisor_3,147,4,143
471,48,1,Supervisor_1,329,1,328
472,18,2,Supervisor_2,493,36,457
473,26,1,Supervisor_1,145,1,144
474,7,3,Supervisor_3,357,27,330
475,30,3,Supervisor_3,373,25,348
476,48,2,Supervisor_2,460,36,424
477,10,3,Supervisor_3,225,3,222
478,24,2,Supervisor_2,314,1,313
479,28,3,Supervisor_3,50,0,50
480,24,2,Supervisor_2,64,0,64
481,12,3,Supervisor_3,293,15,278
482,21,3,Supervisor_3,462,21,441
483,8,2,Supervisor_2,311,16,295
484,16,3,Supervisor_3,115,2,113
485,41,1,Supervisor_1,383,28,355
486,13,3,Supervisor_3,149,2,147
487,6,1,Supervisor_1,56,1,55
488,33,1,Supervisor_1,183,5,178
489,44,3,Supervisor_3,494,7,487
490,7,1,Supervisor_1,458,14,444
491,34,2,Supervisor_2,352,9,343
492,43,2,Supervisor_2,391,27,364
493,3,2,Supervisor_2,439,15,424
494,21,2,Supervisor_2,499,3,496
495,12,1,Supervisor_1,160,10,150
496,38,1,Supervisor_1,305,12,293
497,4,3,Supervisor_3,278,11,267
498,29,2,Supervisor_2,126,6,120
499,34,1,Supervisor_1,114,0,114
500,45,2,Supervisor_2,108,0,108
501,38,1,Supervisor_1,460,28,432
502,2,1,Supervisor_1,377,22,355
503,18,2,Supervisor_2,415,6,409
504,7,2,Supervisor_2,124,8,116
505,1,3,Supervisor_3,496,20,476
506,47,2,Supervisor_2,168,12,156
507,37,2,Supervisor_2,484,28,456
508,15,2,Supervisor_2,212,7,205
509,2,3,Supervisor_3,444,5,439
510,42,3,Supervisor_3,192,7,185
511,43,1,Supervisor_1,360,24,336
512,9,2,Supervisor_2,251,6,245
513,36,3,Supervisor_3,257,18,239
514,44,1,Supervisor_1,152,2,150
515,38,3,Supervisor_3,184,12,172
516,6,3,Supervisor_3,228,5,223
517,26,3,Supervisor_3,100,5,95
518,42,3,Supervisor_3,73,2,71
519,6,2,Supervisor_2,172,6,166
520,42,2,Supervisor_2,414,20,394
521,14,1,Supervisor_1,424,17,407
522,15,3,Supervisor_3,79,6,73
523,40,3,Supervisor_3,158,0,158
524,44,3,Supervisor_3,412,9,403
525,28,2,Supervisor_2,169,6,163
526,11,3,Supervisor_3,289,3,286
527,20,1,Supervisor_1,321,12,309
528,18,1,Supervisor_1,310,7,303
529,26,1,Supervisor_1,411,0,411
530,33,3,Supervisor_3,423,8,415
531,31,1,Supervisor_1,332,26,306
532,39,2,Supervisor_2,419,5,414
533,6,1,Supervisor_1,334,2,332
534,49,3,Supervisor_3,54,2,52
535,19,2,Supervisor_2,102,2,100
536,22,3,Supervisor_3,467,16,451
537,2,1,Supervisor_1,307,23,284
538,38,2,Supervisor_2,466,23,443
539,41,3,Supervisor_3,156,9,147
540,18,3,Supervisor_3,303,19,284
541,9,2,Supervisor_2,64,2,62
542,28,3,Supervisor_3,248,16,232
543,15,3,Supervisor_3,214,14,200
544,35,1,Supervisor_1,486,37,449
545,17,1,Supervisor_1,388,16,372
546,10,2,Supervisor_2,115,7,108
547,35,1,Supervisor_1,382,6,376
548,48,1,Supervisor_1,318,0,318
549,13,1,Supervisor_1,90,3,87
550,28,3,Supervisor_3,141,11,130
551,9,3,Supervisor_3,412,9,403
552,10,2,Supervisor_2,173,7,166
553,30,2,Supervisor_2,439,4,435
554,45,3,Supervisor_3,424,15,409
555,49,2,Supervisor_2,393,25,368
556,32,3,Supervisor_3,123,9,114
557,13,2,Supervisor_2,436,16,420
558,12,1,Supervisor_1,208,8,200
559,16,1,Supervisor_1,176,9,167
560,20,1,Supervisor_1,98,3,95
561,48,3,Supervisor_3,410,30,380
562,43,2,Supervisor_2,129,7,122
563,10,2,Supervisor_2,289,21,268
564,46,3,Supervisor_3,135,0,135
565,15,2,Supervisor_2,145,11,134
566,28,3,Supervisor_3,479,4,475
567,9,1,Supervisor_1,99,4,95
568,29,3,Supervisor_3,492,9,483
569,36,3,Supervisor_3,474,3,471
570,41,2,Supervisor_2,101,4,97
571,4,1,Supervisor_1,264,5,259
572,9,2,Supervisor_2,251,2,249
573,28,1,Supervisor_1,349,10,339
574,38,1,Supervisor_1,462,15,447
575,33,2,Supervisor_2,195,2,193
576,4,1,Supervisor_1,66,2,64
577,45,1,Supervisor_1,310,7,303
578,6,2,Supervisor_2,393,26,367
579,23,1,Supervisor_1,237,13,224
580,16,2,Supervisor_2,496,4,492
581,24,2,Supervisor_2,368,25,343
582,33,2,Supervisor_2,376,27,349
583,44,3,Supervisor_3,261,4,257
584,25,1,Supervisor_1,361,24,337
585,42,3,Supervisor_3,98,3,95
586,48,3,Supervisor_3,408,28,380
587,41,2,Supervisor_2,205,2,203
588,27,2,Supervisor_2,78,4,74
589,28,1,Supervisor_1,292,12,280
590,43,1,Supervisor_1,477,11,466
591,19,2,Supervisor_2,461,17,444
592,3,3,Supervisor_3,392,18,374
593,43,3,Supervisor_3,443,9,434
594,42,2,Supervisor_2,150,4,146
595,11,2,Supervisor_2,248,5,243
596,24,2,Supervisor_2,164,6,158
597,32,2,Supervisor_2,476,7,469
598,26,2,Supervisor_2,180,4,176
599,39,3,Supervisor_3,439,10,429
600,29,2,Supervisor_2,142,2,140
601,3,2,Supervisor_2,184,12,172
602,29,1,Supervisor_1,231,14,217
603,44,1,Supervisor_1,266,10,256
604,40,1,Supervisor_1,410,29,381
605,8,1,Supervisor_1,447,34,413
606,6,3,Supervisor_3,271,20,251
607,46,1,Supervisor_1,270,11,259
608,18,2,Supervisor_2,243,8,235
609,21,2,Supervisor_2,449,5,444
610,5,1,Supervisor_1,93,0,93
611,13,2,Supervisor_2,318,2,316
612,18,2,Supervisor_2,195,2,193
613,46,3,Supervisor_3,176,6,170
614,46,3,Supervisor_3,369,17,352
615,42,3,Supervisor_3,159,11,148
616,39,2,Supervisor_2,445,16,429
617,26,3,Supervisor_3,56,0,56
618,47,3,Supervisor_3,190,13,177
619,42,3,Supervisor_3,203,12,191
620,33,2,Supervisor_2,187,4,183
621,22,1,Supervisor_1,322,12,310
622,46,3,Supervisor_3,60,2,58
623,38,1,Supervisor_1,406,7,399
624,35,3,Supervisor_3,472,15,457
625,26,1,Supervisor_1,389,2,387
626,4,1,Supervisor_1,367,8,359
627,46,2,Supervisor_2,221,6,215
628,33,1,Supervisor_1,270,11,259
629,45,1,Supervisor_1,463,0,463
630,3,3,Supervisor_3,257,10,247
631,16,2,Supervisor_2,138,6,132
632,14,2,Supervisor_2,492,10,482
633,36,1,Supervisor_1,422,24,398
634,46,1,Supervisor_1,156,11,145
635,45,2,Supervisor_2,98,2,96
636,12,1,Supervisor_1,334,18,316
637,4,2,Supervisor_2,168,4,164
638,50,3,Supervisor_3,412,0,412
639,37,3,Supervisor_3,75,0,75
640,37,3,Supervisor_3,429,16,413
641,25,3,Supervisor_3,486,0,486
642,14,3,Supervisor_3,471,10,461
643,16,3,Supervisor_3,101,5,96
644,30,1,Supervisor_1,494,16,478
645,9,1,Supervisor_1,68,5,63
646,8,1,Supervisor_1,366,15,351
647,1,3,Supervisor_3,74,0,74
648,20,3,Supervisor_3,280,16,264
649,14,1,Supervisor_1,205,6,199
650,9,1,Supervisor_1,423,24,399
651,22,2,Supervisor_2,54,1,53
652,40,3,Supervisor_3,355,26,329
653,7,2,Supervisor_2,106,3,103
654,50,2,Supervisor_2,420,23,397
655,46,2,Supervisor_2,274,20,254
656,28,3,Supervisor_3,486,13,473
657,2,3,Supervisor_3,199,7,192
658,14,1,Supervisor_1,105,3,102
659,41,1,Supervisor_1,292,12,280
660,22,1,Supervisor_1,365,24,341
661,38,1,Supervisor_1,114,6,108
662,42,2,Supervisor_2,448,18,430
663,3,2,Supervisor_2,225,4,221
664,3,1,Supervisor_1,337,10,327
665,1,2,Supervisor_2,466,33,433
666,36,3,Supervisor_3,459,14,445
667,34,1,Supervisor_1,251,19,232
668,37,2,Supervisor_2,305,4,301
669,36,2,Supervisor_2,78,0,78
670,17,3,Supervisor_3,82,1,81
671,21,1,Supervisor_1,290,22,268
672,9,2,Supervisor_2,453,3,450
673,42,1,Supervisor_1,210,5,205
674,14,1,Supervisor_1,470,21,449
675,20,2,Supervisor_2,254,16,238
676,27,3,Supervisor_3,292,6,286
677,32,1,Supervisor_1,318,7,311
678,28,2,Supervisor_2,281,14,267
679,20,3,Supervisor_3,111,5,106
680,13,2,Supervisor_2,151,6,145
681,49,3,Supervisor_3,196,2,194
682,23,1,Supervisor_1,325,1,324
683,1,2,Supervisor_2,251,6,245
684,32,1,Supervisor_1,294,21,273
685,31,3,Supervisor_3,148,6,142
686,45,3,Supervisor_3,267,6,261
687,23,2,Supervisor_2,219,9,210
688,18,3,Supervisor_3,325,15,310
689,13,2,Supervisor_2,465,18,447
690,11,2,Supervisor_2,153,4,149
691,49,2,Supervisor_2,272,16,256
692,17,1,Supervisor_1,164,11,153
693,47,2,Supervisor_2,354,9,345
694,13,1,Supervisor_1,194,4,190
695,12,3,Supervisor_3,102,6,96
696,18,3,Supervisor_3,118,7,111
